wav,txt2,phone2
chinese000014,我 回 右 哼 哼 左 哼 哼 。,wo3 hui2 you4 heng1 heng5 zuo3 heng1 heng5 。
chinese000015,吴 云 宝 奶 奶 挑 选 枇 杷 。,wu2 yun2 bao2 nai3 nai5 tiao1 xuan3 pi2 pa2 。
chinese000016,此 外 广 本 也 将 由 少 壮 派 掌 管 。,ci3 wai4 guang2 ben3 ye3 jiang1 you2 shao4 zhuang4 pai4 zhang2 guan3 。
chinese000017,右 蛮 舞 袅 袅 ， 左 琼 歌 昔 昔 。,you4 man2 wu3 niao2 niao3 ， zuo3 qiong2 ge1 xi1 xi1 。
chinese000018,眼 眶 宽 阔 而 低 矮 ， 鼻 短 而 宽 。,yan3 kuang4 kuan1 kuo4 er2 di1 ai3 ， bi2 duan3 er2 kuan1 。
chinese000019,霞 浦 县 牙 城 镇 乌 岐 、 瓦 窑 村 水 位 猛 涨 。,xia2 pu3 xian4 ya2 cheng2 zhen4 wu1 qi2 、 wa3 yao2 cun1 shui3 wei4 meng2 zhang3 。
chinese000020,霍 思 燕 露 背 秀 乳 沟 性 感 惹 火 。,huo4 si1 yan4 lu4 bei4 xiu4 ru3 gou1 xing4 gan3 re2 huo3 。
chinese000021,也 可 以 给 本 委 员 反 映 哟 。,ye3 ke2 yi3 gei3 ben2 wei3 yuan2 fan3 ying4 you5 。
chinese000022,摇 篮 牌 钙 维 健 婴 儿 配 方 奶 粉 。,yao2 lan2 pai2 gai4 wei2 jian4 ying1 er2 pei4 fang1 nai2 fen3 。
chinese000023,鄂 豫 鲁 皖 苏 局 地 大 暴 雨 。,e4 yu4 lu2 wan3 su1 ju2 di4 da4 bao4 yu3 。
chinese000024,以 下 为 薛 蛮 子 观 点 摘 要 。,yi3 xia4 wei2 xue1 man2 zi5 guan1 dian3 zhai1 yao4 。
chinese000025,沉 鱼 落 雁 ， 闭 月 羞 花 。,chen2 yu2 luo4 yan4 ， bi4 yue4 xiu1 hua1 。
chinese000026,而 许 冠 英 亦 将 于 明 日 出 殡 。,er2 xu3 guan4 ying1 yi4 jiang1 yu2 ming2 ri4 chu1 bin4 。
chinese000027,阿 娇 与 百 位 “ 鬼 粉 丝 ” 狂 欢 。,a1 jiao1 yu2 bai3 wei4 “ gui2 fen3 si1 ” kuang2 huan1 。
chinese000028,房 屋 买 卖 契 约 和 收 条 。,fang2 wu1 mai3 mai4 qi4 yue1 he2 shou1 tiao2 。
chinese000029,遛 弯 儿 都 得 躲 远 点 。,liu4 wanr1 dou1 dei3 duo2 yuan2 dian3 。
chinese000030,黑 熊 闯 进 王 明 辉 家 后 院 觅 食 。,hei1 xiong2 chuang3 jin4 wang2 ming2 hui1 jia1 hou4 yuan4 mi4 shi2 。
chinese000031,吴 亚 军 与 丈 夫 蔡 奎 。,wu2 ya4 jun1 yu3 zhang4 fu5 cai4 kui2 。
chinese000032,亚 硝 酸 盐 味 微 咸 ， 易 溶 于 水 。,ya4 xiao1 suan1 yan2 wei4 wei1 xian2 ， yi4 rong2 yu2 shui3 。
chinese000033,院 墙 被 石 棉 瓦 遮 掩 上 了 。,yuan4 qiang2 bei4 shi2 mian2 wa3 zhe1 yan3 shang4 le5 。
chinese000034,成 荫 挑 选 我 演 赵 玉 敏 。,cheng2 yin1 tiao1 xuan2 wo2 yan3 zhao4 yu4 min3 。
chinese000035,寅 吃 卯 粮 ， 无 异 于 饮 鸩 止 渴 。,yin2 chi1 mao3 liang2 ， wu2 yi4 yu2 yin3 zhen4 zhi2 ke3 。
chinese000036,驴 子 越 跑 越 快 ， 越 跑 越 疯 狂 。,lv2 zi5 yue4 pao3 yue4 kuai4 ， yue4 pao3 yue4 feng1 kuang2 。
chinese000037,揶 揄 得 孙 垚 差 点 背 过 气 儿 。,ye2 yu2 de5 sun1 yao2 cha4 dian3 bei4 guo4 qir4 。
chinese000038,光 棍 节 营 销 应 运 而 生 。,guang1 gun4 jie2 ying2 xiao1 ying4 yun4 er2 sheng1 。
chinese000039,高 压 铁 塔 下 的 低 矮 棚 屋 。,gao1 ya1 tie2 ta3 xia4 de5 di1 ai3 peng2 wu1 。
chinese000040,电 影 海 报 “ 贫 民 窟 百 万 富 翁 ” 。,dian4 ying2 hai3 bao4 “ pin2 min2 ku1 bai3 wan4 fu4 weng1 ” 。
chinese000041,刁 维 列 已 被 另 案 处 理 。,diao1 wei2 lie4 yi3 bei4 ling4 an4 chu2 li3 。
chinese000042,云 雾 有 时 宛 如 玉 带 平 卧 峰 峦 山 涧 ， 有 时 炊 烟 袅 绕 ， 薄 雾 轻 旋 。,yun2 wu4 you3 shi2 wan3 ru2 yu4 dai4 ping2 wo4 feng1 luan2 shan1 jian1 ， you3 shi2 chui1 yan1 niao3 rao4 ， bo2 wu4 qing1 xuan2 。
chinese000043,嘴 巴 周 围 略 微 肿 起 。,zui3 ba5 zhou1 wei2 lve4 wei1 zhong2 qi3 。
chinese000044,欢 声 笑 语 洒 满 村 庄 。,huan1 sheng1 xiao4 yu3 sa2 man3 cun1 zhuang1 。
chinese000045,沙 场 竟 殒 命 ， 壮 志 也 无 违 。,sha1 chang3 jing4 yun3 ming4 ， zhuang4 zhi4 ye3 wu2 wei2 。
chinese000046,油 炸 豆 腐 喷 喷 香 ， 馓 子 麻 花 嘣 嘣 脆 ， 姊 妹 团 子 数 二 姜 。,you2 zha2 dou4 fu5 pen1 pen1 xiang1 ， san3 zi5 ma2 hua1 beng1 beng1 cui4 ， zi3 mei4 tuan2 zi5 shu3 er4 jiang1 。
chinese000047,本 山 也 真 太 抠 门 儿 了 。,ben3 shan1 ye3 zhen1 tai4 kou1 menr2 le5 。
chinese000048,蔺 东 英 的 住 院 病 案 。,lin4 dong1 ying1 de5 zhu4 yuan4 bing4 an4 。
chinese000049,犬 必 须 拴 养 或 圈 养 。,quan3 bi4 xu1 shuan1 yang3 huo4 juan4 yang3 。
chinese000050,赫 莉 和 印 度 大 亨 阿 郎 奈 尔 已 经 分 居 数 月 。,he4 li4 he2 yin4 du4 da4 heng1 a1 lang2 nai4 er3 yi3 jing1 fen1 ju1 shu4 yue4 。
chinese000051,难 兄 难 弟 要 好 好 切 磋 切 磋 。,nan4 xiong1 nan4 di4 yao4 hao2 hao3 qie1 cuo1 qie1 cuo1 。
chinese000052,小 军 大 腿 内 侧 淤 青 。,xiao3 jun1 da4 tui3 nei4 ce4 yu1 qing1 。
chinese000053,以 及 “ 雌 雄 孔 子 鸟 ” 复 原 图 。,yi3 ji2 “ ci2 xiong2 kong2 zi2 niao3 ” fu4 yuan2 tu2 。
chinese000054,与 女 演 员 拍 吻 戏 ， 陈 小 春 不 怕 应 采 儿 吃 醋 。,yu3 nv2 yan3 yuan2 pai1 wen3 xi4 ， chen2 xiao3 chun1 bu2 pa4 ying4 cai3 er2 chi1 cu4 。
chinese000055,仿 针 织 、 粗 花 呢 等 印 花 面 料 的 巧 妙 运 用 。,fang3 zhen1 zhi1 、 cu1 hua1 ni2 deng3 yin4 hua1 mian4 liao4 de5 qiao3 miao4 yun4 yong4 。
chinese000056,与 约 瑟 夫 贴 面 搂 抱 。,yu3 yue1 se4 fu1 tie1 mian4 lou3 bao4 。
chinese000057,努 尔 别 尔 德 耶 娃 请 周 永 康 转 达 对 吴 邦 国 委 员 长 的 亲 切 问 候 。,nu2 er3 bie2 er3 de2 ye1 wa2 qing3 zhou1 yong3 kang1 zhuan3 da2 dui4 wu2 bang1 guo2 wei3 yuan2 zhang3 de5 qin1 qie4 wen4 hou4 。
chinese000058,金 友 庄 瞒 儿 下 周 捐 肾 。,jin1 you3 zhuang1 man2 er2 xia4 zhou1 juan1 shen4 。
chinese000059,我 我 我 我 我 我 和 胖 子 一 起 。,wo2 wo3 wo2 wo3 wo2 wo3 he2 pang4 zi5 yi4 qi3 。
chinese000060,嫂 嫂 给 做 的 莜 面 窝 窝 、 和 羊 肉 炖 山 药 。,sao3 sao5 gei3 zuo4 de5 you2 mian4 wo1 wo5 、 he2 yang2 rou4 dun4 shan1 yao4 。
chinese000061,曼 萨 尼 约 港 口 被 关 闭 。,man4 sa4 ni2 yue1 gang2 kou3 bei4 guan1 bi4 。
chinese000062,廖 碧 儿 马 雅 舒 和 老 公 晒 恩 爱 。,liao4 bi4 er2 ma2 ya3 shu1 he2 lao3 gong1 shai4 en1 ai4 。
chinese000063,袜 子 摊 小 老 板 陈 永 全 。,wa4 zi5 tan1 xiao3 lao2 ban3 chen2 yong3 quan2 。
chinese000064,合 计 筹 资 一 点 一 二 九 一 五 五 亿 元 。,he2 ji4 chou2 zi1 yi1 dian3 yi1 er4 jiu3 yi1 wu2 wu3 yi4 yuan2 。
chinese000065,鸟 儿 喳 喳 ， 奏 起 晨 曲 。,niao3 er2 zha1 zha1 ， zou4 qi3 chen2 qu3 。
chinese000066,体 强 壮 而 后 学 问 道 德 之 进 修 勇 而 收 效 远 。,ti3 qiang2 zhuang4 er2 hou4 xue2 wen4 dao4 de2 zhi1 jin4 xiu1 yong3 er2 shou1 xiao4 yuan3 。
chinese000067,网 购 或 网 搜 股 民 信 息 ， 以 高 回 报 为 饵 “ 请 君 入 瓮 ” 。,wang3 gou4 huo4 wang3 sou1 gu3 min2 xin4 xi1 ， yi3 gao1 hui2 bao4 wei2 er3 “ qing3 jun1 ru4 weng4 ” 。
chinese000068,图 为 凯 姆 博 伊 “ 斜 线 ” 冲 刺 。,tu2 wei2 kai2 mu3 bo2 yi1 “ xie2 xian4 ” chong1 ci4 。
chinese000069,即 将 钓 鱼 台 、 黄 尾 屿 、 赤 屿 三 岛 赏 给 盛 宣 怀 为 产 业 ， 供 采 药 之 用 。,ji2 jiang1 diao4 yu2 tai2 、 huang2 wei2 yu3 、 chi4 yu3 san1 dao3 shang2 gei3 sheng4 xuan1 huai2 wei2 chan3 ye4 gong1 cai3 ， yao4 zhi1 yong4 。
chinese000070,用 不 用 我 替 你 捂 着 嘴 。,yong4 bu2 yong4 wo3 ti4 ni2 wu3 zhe5 zui3 。
chinese000071,二 敬 家 住 北 五 环 外 ， 上 班 要 去 亚 运 村 华 堂 商 场 。,er4 jing4 jia1 zhu4 bei2 wu3 huan2 wai4 ， shang4 ban1 yao4 qu4 ya4 yun4 cun1 hua2 tang2 shang1 chang3 。
chinese000072,有 关 能 否 改 控 “ 串 谋 ” 。,you3 guan1 neng2 fou2 gai3 kong4 “ chuan4 mou2 ” 。
chinese000073,布 吕 尼 也 与 前 夫 哲 学 家 拉 斐 尔 育 有 一 子 。,bu4 lv3 ni2 ye2 yu3 qian2 fu1 zhe2 xue2 jia1 la1 fei2 er3 yu4 you3 yi4 zi3 。
chinese000074,又 有 谁 肯 舍 施 给 他 呢 ？,you4 you3 shui2 ken2 she3 shi1 gei3 ta1 ne5 ？
chinese000075,窃 贼 露 腿 自 称 患 “ 麻 风 病 ” 。,qie4 zei2 lou4 tui3 zi4 cheng1 huan4 “ ma2 feng1 bing4 ” 。
chinese000076,老 祖 母 以 谋 杀 罪 被 收 押 。,lao3 zu2 mu3 yi3 mou2 sha1 zui4 bei4 shou1 ya1 。
chinese000077,矮 矬 穷 ， 别 瞎 夸 。,ai3 cuo2 qiong2 ， bie2 xia1 kua1 。
chinese000078,鱼 在 水 里 打 旋 地 往 外 乱 蹦 。,yu2 zai4 shui2 li2 da3 xuan2 de5 wang3 wai4 luan4 beng4 。
chinese000079,卓 文 君 说 ： 宛 如 山 上 雪 ， 皎 若 云 间 月 。,zhuo2 wen2 jun1 shuo1 ： wan3 ru2 shan1 shang4 xue3 jiao3 ， ruo4 yun2 jian1 yue4 。
chinese000080,一 类 苗 可 谓 命 运 多 舛 。,yi2 lei4 miao2 ke3 wei4 ming4 yun4 duo1 chuan3 。
chinese000081,某 小 怂 快 快 看 看 。,mou2 xiao3 song2 kuai4 kuai4 kan4 kan5 。
chinese000082,铁 砂 掌 爱 好 者 张 辉 表 演 劈 砖 。,tie3 sha1 zhang3 ai4 hao4 zhe3 zhang1 hui1 biao2 yan3 pi1 zhuan1 。
chinese000083,而 吕 业 新 也 被 一 根 檩 子 压 着 。,er2 lv3 ye4 xin1 ye3 bei4 yi4 gen1 lin3 zi5 ya1 zhe5 。
chinese000084,谆 谆 叮 咛 ， 勿 忘 天 山 哺 育 情 。,zhun1 zhun1 ding1 ning2 ， wu4 wang4 tian1 shan1 bu3 yu4 qing2 。
chinese000085,现 在 是 道 儿 越 走 越 宽 ， 人 气 越 搞 越 旺 。,xian4 zai4 shi4 daor4 yue4 zou3 yue4 kuan1 ren2 ， qi4 yue4 gao3 yue4 wang4 。
chinese000086,毋 庸 讳 言 ， 人 有 记 性 ， 亦 有 忘 性 。,wu4 yong1 hui4 yan2 ， ren2 you3 ji4 xing4 ， yi4 you3 wang4 xing4 。
chinese000087,餐 后 ， 一 行 人 又 陪 汪 小 菲 到 另 一 诊 所 看 耳 鼻 喉 科 。,can1 hou4 ， yi4 xing2 ren2 you4 pei2 wang1 xiao3 fei1 dao4 ling4 yi4 zhen2 suo3 kan4 er3 bi2 hou2 ke1 。
chinese000088,干 嘛 啊 你 又 来 勾 搭 谁 。,gan4 ma2 a5 ni3 you4 lai2 gou1 da5 shei2 。
chinese000089,约 婉 卡 与 铁 托 没 有 孩 子 。,yue1 wan2 ka3 yu2 tie3 tuo1 mei2 you3 hai2 zi5 。
chinese000090,受 损 宋 代 哥 窑 青 釉 葵 瓣 口 盘 正 面 损 毁 后 。,shou4 sun3 song4 dai4 ge1 yao2 qing1 you4 kui2 ban4 kou3 pan2 zheng4 mian4 sun2 hui3 hou4 。
chinese000091,也 欢 迎 卫 生 棉 厂 商 找 我 代 言 。,ye3 huan1 ying2 wei4 sheng1 mian2 chang3 shang1 zhao2 wo3 dai4 yan2 。
chinese000092,蝼 蚁 往 还 空 垄 亩 ， 骐 麟 埋 没 几 春 秋 。,lou2 yi2 wang3 huan2 kong1 long2 mu3 ， qi2 lin2 mai2 mo4 ji3 chun1 qiu1 。
chinese000093,如 护 发 和 护 眼 要 戴 上 硅 胶 泳 帽 和 摘 除 隐 形 眼 镜 。,ru2 hu4 fa4 he2 hu4 yan3 yao4 dai4 shang4 gui1 jiao1 yong3 mao4 he2 zhai1 chu2 yin3 xing2 yan3 jing4 。
chinese000094,马 浚 伟 与 杨 怡 等 共 度 生 日 。,ma3 xun4 wei2 yu3 yang2 yi2 deng3 gong4 du4 sheng1 ri4 。
chinese000095,省 级 文 保 单 位 满 院 儿 溜 达 鸡 。,sheng3 ji2 wen2 bao3 dan1 wei4 man3 yuanr4 liu1 da5 ji1 。
chinese000096,图 为 中 山 詹 园 广 邀 千 余 游 客 品 尝 重 阳 益 寿 千 叟 宴 。,tu2 wei2 zhong1 shan1 zhan1 yuan2 guang3 yao1 qian1 yu2 you2 ke4 pin3 chang2 chong2 yang2 yi4 shou4 qian1 sou3 yan4 。
chinese000097,小 文 杰 全 身 枯 瘦 如 柴 。,xiao3 wen2 jie2 quan2 shen1 ku1 shou4 ru2 chai2 。
chinese000098,秦 某 用 脸 盆 舀 水 将 火 扑 灭 。,qin2 mou3 yong4 lian3 pen2 yao2 shui3 jiang1 huo3 pu1 mie4 。
chinese000099,安 全 套 做 成 巫 毒 娃 娃 样 子 。,an1 quan2 tao4 zuo4 cheng2 wu1 du2 wa2 wa5 yang4 zi5 。
chinese000100,第 三 是 烤 鸭 缺 斤 短 两 。,di4 san1 shi4 kao3 ya1 que1 jin1 duan2 liang3 。
chinese000101,传 马 伊 璃 怀 上 二 胎 。,chuan2 ma3 yi1 li2 huai2 shang5 er4 tai1 。
chinese000102,风 筝 要 线 ， 奔 马 要 缰 ， 航 船 要 舵 。,feng1 zheng5 yao4 xian4 ， ben1 ma3 yao4 jiang1 ， hang2 chuan2 yao4 duo4 。
chinese000103,贾 媛 媛 拖 高 岳 上 楼 。,jia3 yuan2 yuan5 tuo1 gao1 yue4 shang4 lou2 。
chinese000104,黑 袍 鸟 “ 小 黑 ” 是 林 八 哥 。,hei1 pao2 niao2 “ xiao3 hei1 ” shi5 lin2 ba1 ge1 。
chinese000105,他 越 摁 ， 我 越 慌 ， 发 动 越 慢 。,ta1 yue4 en4 ， wo3 yue4 huang1 ， fa1 dong4 yue4 man4 。
chinese000106,卯 兔 开 新 岁 ， 两 岸 共 迎 春 。,mao3 tu4 kai1 xin1 sui4 ， liang3 an4 gong4 ying2 chun1 。
chinese000107,五 月 天 玛 莎 替 菊 娃 娃 换 装 比 基 尼 。,wu3 yue4 tian1 ma3 sha1 ti4 ju2 wa2 wa5 huan4 zhuang1 bi3 ji1 ni2 。
chinese000108,坡 土 岩 性 为 坡 坡 ， 残 积 土 属 土 质 边 坡 。,po1 tu3 yan2 xing4 wei2 po1 po1 ， can2 ji1 tu3 shu2 tu3 zhi4 bian1 po1 。
chinese000109,墨 西 哥 一 五 二 一 年 沦 为 西 班 牙 殖 民 地 。,mo4 xi1 ge1 yi1 wu3 er4 yi1 nian2 lun2 wei2 xi1 ban1 ya2 zhi2 min2 di4 。
chinese000110,娃 哈 哈 企 业 研 究 院 副 院 长 李 言 郡 算 是 “ 苦 主 ” 之 一 。,wa2 ha1 ha1 qi3 ye4 yan2 jiu1 yuan4 fu4 yuan4 zhang3 li3 yan2 jun4 suan4 shi4 “ ku2 zhu3 ” zhi1 yi1 。
chinese000111,周 韵 则 获 老 外 搂 腰 ， 兴 奋 大 笑 。,zhou1 yun4 ze2 huo4 lao3 wai4 lou3 yao1 ， xing1 fen4 da4 xiao4 。
chinese000112,我 要 用 谷 歌 发 送 一 封 邮 件 。,wo3 yao4 yong4 gu3 ge1 fa1 song4 yi4 feng1 you2 jian4 。
chinese000113,迪 沃 尔 夫 则 吞 了 一 口 水 。,di2 wo4 er3 fu1 ze2 tun1 le5 yi4 kou2 shui3 。
chinese000114,先 师 的 研 究 领 域 浩 瀚 无 涯 矣 。,xian1 shi1 de5 yan2 jiu1 ling3 yu4 hao4 han4 wu2 ya2 yi3 。
chinese000115,因 干 爹 而 红 的 模 特 周 蕊 。,yin1 gan1 die1 er2 hong2 de5 mo2 te4 zhou1 rui3 。
chinese000116,玩 咖 用 来 骗 美 眉 。,wan2 ka1 yong4 lai2 pian4 mei3 mei2 。
chinese000117,五 戒 松 散 狭 隘 ， 要 团 结 合 作 。,wu3 jie4 song1 san3 xia2 ai4 ， yao4 tuan2 jie2 he2 zuo4 。
chinese000118,希 望 看 一 眼 格 尔 木 的 树 叶 。,xi1 wang4 kan4 yi4 yan3 ge2 er3 mu4 de5 shu4 ye4 。
chinese000119,秉 哲 也 回 吻 大 蟒 蛇 。,bing3 zhe2 ye3 hui2 wen3 da4 mang3 she2 。
chinese000120,城 门 顶 端 有 桃 色 的 陶 瓦 ， 屋 顶 以 龙 凤 等 瑞 兽 装 饰 。,cheng2 men2 ding3 duan1 you3 tao2 se4 de5 tao2 wa3 ， wu1 ding3 yi3 long2 feng4 deng3 rui4 shou4 zhuang1 shi4 。
chinese000121,学 生 踏 上 栏 杆 戏 弄 鳄 鱼 。,xue2 sheng1 ta4 shang4 lan2 gan1 xi4 nong5 e4 yu2 。
chinese000122,你 看 梁 朝 伟 演 “ 色 戒 ” ， 刘 嘉 玲 也 得 咬 牙 忍 住 呀 。,ni3 kan4 liang2 chao2 wei2 yan3 “ se4 jie4 ” liu2 jia1 ， ling2 ye2 dei2 yao3 ya2 ren3 zhu4 ya5 。
chinese000123,这 要 问 问 火 星 上 的 鱼 啦 。,zhe4 yao4 wen4 wen5 huo3 xing1 shang4 de5 yu2 la5 。
chinese000124,钟 镇 涛 与 女 儿 牵 手 逛 街 。,zhong1 zhen4 tao1 yu2 nv3 er2 qian1 shou3 guang4 jie1 。
chinese000125,一 层 可 以 种 花 花 草 草 。,yi1 ceng2 ke2 yi3 zhong4 hua1 hua1 cao2 cao3 。
chinese000126,每 家 作 坊 损 失 有 一 二 十 万 元 。,mei3 jia1 zuo1 fang5 sun3 shi1 you3 yi1 er4 shi2 wan4 yuan2 。
chinese000127,他 面 容 憔 悴 ， 右 腿 有 些 瘸 拐 。,ta1 mian4 rong2 qiao2 cui4 ， you4 tui2 you3 xie1 que2 guai3 。
chinese000128,舅 舅 指 张 韶 涵 殴 亲 。,jiu4 jiu5 zhi3 zhang1 shao2 han2 ou1 qin1 。
chinese000129,法 院 准 许 合 同 解 除 。,fa3 yuan4 zhun2 xu3 he2 tong5 jie3 chu2 。
chinese000130,另 外 ， 窝 案 串 案 多 也 尤 为 突 出 。,ling4 wai4 ， wo1 an4 chuan4 an4 duo1 ye3 you2 wei2 tu1 chu1 。
chinese000131,搞 些 林 业 机 械 主 业 以 外 的 偏 业 呢 ？,gao3 xie1 lin2 ye4 ji1 xie4 zhu3 ye4 yi3 wai4 de5 pian1 ye4 ne5 ？
chinese000132,棉 花 收 购 也 遭 游 资 恶 性 炒 作 。,mian2 hua1 shou1 gou4 ye3 zao1 you2 zi1 e4 xing4 chao3 zuo4 。
chinese000133,古 永 锵 已 “ 军 壁 垓 下 ” 。,gu2 yong3 qiang1 yi3 “ jun1 bi4 gai1 xia4 ” 。
chinese000134,他 又 哭 又 闹 ， 还 拿 刀 戳 来 戳 去 。,ta1 you4 ku1 you4 nao4 ， hai2 na2 dao1 chuo1 lai2 chuo1 qu4 。
chinese000135,在 放 下 清 扫 机 后 ， 万 庆 良 改 用 扫 帚 作 业 。,zai4 fang4 xia4 qing1 sao3 ji1 hou4 ， wan4 qing4 liang2 gai3 yong4 sao4 zhou5 zuo4 ye4 。
chinese000136,她 昂 首 挺 胸 ， 迎 风 而 立 ， 炯 炯 有 神 的 双 目 眺 望 前 方 。,ta1 ang2 shou2 ting3 xiong1 ， ying2 feng1 er2 li4 ， jiong2 jiong2 you3 shen2 de5 shuang1 mu4 tiao4 wang4 qian2 fang1 。
chinese000137,而 张 茆 日 前 也 宣 布 与 外 籍 男 友 订 婚 。,er2 zhang1 mao2 ri4 qian2 ye3 xuan1 bu4 yu3 wai4 ji2 nan2 you3 ding4 hun1 。
chinese000138,扪 萝 登 塔 远 ， 刳 木 取 泉 遥 。,men2 luo2 deng1 ta2 yuan3 ， ku1 mu4 qu3 quan2 yao2 。
chinese000139,你 无 语 我 很 闲 滴 勒 。,ni3 wu2 yu3 wo2 hen3 xian2 di5 le4 。
chinese000140,问 题 牛 肉 据 信 源 自 一 家 罗 马 尼 亚 屠 宰 场 。,wen4 ti2 niu2 rou4 ju4 xin4 yuan2 zi4 yi4 jia1 luo2 ma3 ni2 ya4 tu2 zai2 chang3 。
chinese000141,阿 尔 瓦 雷 斯 依 言 行 事 。,a1 er2 wa3 lei2 si1 yi1 yan2 xing2 shi4 。
chinese000142,只 愿 苍 天 相 照 应 ， 留 得 情 谊 比 锦 翠 。,zhi3 yuan4 cang1 tian1 xiang1 zhao4 ying5 ， liu2 de2 qing2 yi4 bi2 jin3 cui4 。
chinese000143,菀 之 挑 选 男 友 最 怕 无 趣 。,yu4 zhi1 tiao1 xuan3 nan2 you3 zui4 pa4 wu2 qu4 。
chinese000144,坦 塔 维 和 安 南 被 任 命 为 总 统 顾 问 。,tan2 ta3 wei2 he2 an1 nan2 bei4 ren4 ming4 wei2 zong2 tong3 gu4 wen4 。
chinese000145,小 真 一 边 用 纸 巾 按 压 止 血 ， 一 边 又 开 始 低 声 啜 泣 。,xiao3 zhen1 yi4 bian1 yong4 zhi3 jin1 an4 ya1 zhi2 xie3 ， yi4 bian1 you4 kai1 shi3 di1 sheng1 chuo4 qi4 。
chinese000146,邱 韶 智 因 此 被 外 界 讽 刺 是 “ 鳄 鱼 头 ， 老 衬 底 ” 。,qiu1 shao2 zhi4 yin1 ci3 bei4 wai4 jie4 feng3 ci4 shi4 “ e4 yu2 tou2 lao3 ， chen4 di3 ” 。
chinese000147,花 朵 体 引 发 网 友 热 议 效 仿 。,hua1 duo2 ti2 yin3 fa1 wang2 you3 re4 yi4 xiao4 fang3 。
chinese000148,肖 克 在 空 调 厂 卸 完 货 ， 由 原 路 返 回 寸 滩 港 。,xiao1 ke4 zai4 kong1 tiao2 chang3 xie4 wan2 huo4 ， you2 yuan2 lu4 fan3 hui2 cun4 tan1 gang3 。
chinese000149,由 此 牵 出 丑 闻 ， 有 人 蓄 意 栽 赃 萨 科 齐 。,you2 ci3 qian1 chu1 chou3 wen2 ， you3 ren2 xu4 yi4 zai1 zang1 sa4 ke1 qi2 。
chinese000150,瓦 努 阿 图 位 于 环 太 平 洋 地 震 多 发 带 。,wa2 nu3 a1 tu2 wei4 yu2 huan2 tai4 ping2 yang2 di4 zhen4 duo1 fa1 dai4 。
chinese000151,干 罢 农 活 上 上 网 ， 咱 也 玩 玩 假 农 场 。,gan4 ba4 nong2 huo2 shang4 shang4 wang3 ， zan2 ye3 wan2 wan5 jia3 nong2 chang3 。
chinese000152,这 就 是 英 业 达 硬 包 软 ， 软 卖 硬 的 理 念 。,zhe4 jiu4 shi4 ying1 ye4 da2 ying4 bao1 ruan3 ， ruan3 mai4 ying4 de5 li3 nian4 。
chinese000153,烧 花 鸭 ， 烧 雏 鸡 儿 。,shao1 hua1 ya1 ， shao1 chu2 jir1 。
chinese000154,中 枪 小 考 拉 生 命 垂 危 。,zhong4 qiang1 xiao2 kao3 la1 sheng1 ming4 chui2 wei1 。
chinese000155,手 捧 死 蚕 ， 蚕 农 非 常 沮 丧 。,shou2 peng2 si3 can2 ， can2 nong2 fei1 chang2 ju3 sang4 。
chinese000156,不 过 仍 挡 不 住 一 些 烟 民 吞 云 吐 雾 。,bu2 guo4 reng2 dang3 bu2 zhu4 yi4 xie1 yan1 min2 tun1 yun2 tu3 wu4 。
chinese000157,亲 朋 好 友 捧 着 花 篮 前 来 吊 唁 。,qin1 peng2 hao2 you3 peng3 zhe5 hua1 lan2 qian2 lai2 diao4 yan4 。
